Volumes:

Instancias

Name 	 Flavor 	 Time
kafka-cluster-3 	lsd.t2.large 	30 Days, 0 Hours and 0 Seconds
gitlab-runner 	lsd.t1.tiny 	30 Days, 0 Hours and 0 Seconds
dashboard 	lsd.t1.small 	30 Days, 0 Hours and 0 Seconds
proxy-experiment 	sgx.epc32.medium 	0 Days, 0 Hours and 0 Seconds
kafka-cluster-1 	lsd.t2.large 	30 Days, 0 Hours and 0 Seconds
kafka-cluster-2 	lsd.t2.large 	30 Days, 0 Hours and 0 Seconds
shibboleth 	lsd.t1.medium 	30 Days, 0 Hours and 0 Seconds
LuizAugusto-Fisicalização 	lsd.t1.small 	30 Days, 0 Hours and 0 Seconds
zookeeper 	lsd.t1.small 	30 Days, 0 Hours and 0 Seconds
