Volumes:

Instancias

Name 	 Flavor 	 Time
test2 	lsd.t1.nano 	0 Days, 0 Hours and 59 Seconds
test 	lsd.t1.nano 	0 Days, 0 Hours and 6 Seconds
test2 	lsd.t1.nano 	0 Days, 0 Hours and 32 Seconds
test-fednet 	lsd.t1.nano 	0 Days, 0 Hours and 0 Seconds
test 	lsd.t1.nano 	0 Days, 0 Hours and 37 Seconds
test-fednet 	lsd.t1.nano 	0 Days, 0 Hours and 0 Seconds
h2 	lsd.t1.nano 	0 Days, 0 Hours and 0 Seconds
test-restart 	lsd.t1.nano 	0 Days, 0 Hours and 0 Seconds
test2 	lsd.t1.nano 	0 Days, 0 Hours and 17 Seconds
site2 	lsd.t1.nano 	0 Days, 0 Hours and 41 Seconds
test-hor 	lsd.t1.tiny 	0 Days, 0 Hours and 59 Seconds
test2 	lsd.t1.nano 	0 Days, 0 Hours and 50 Seconds
test 	lsd.t1.nano 	0 Days, 0 Hours and 25 Seconds
test2 	lsd.t1.nano 	0 Days, 0 Hours and 47 Seconds
test 	lsd.t1.nano 	0 Days, 0 Hours and 0 Seconds
test 	lsd.t1.nano 	0 Days, 0 Hours and 25 Seconds
h1 	lsd.t1.nano 	0 Days, 0 Hours and 0 Seconds
test2 	lsd.t1.nano 	0 Days, 0 Hours and 27 Seconds
test 	lsd.t1.nano 	0 Days, 0 Hours and 0 Seconds
h3 	lsd.t1.nano 	0 Days, 0 Hours and 0 Seconds
test-restart 	lsd.t1.nano 	0 Days, 0 Hours and 11 Seconds
my compute 	lsd.t1.small 	0 Days, 0 Hours and 50 Seconds
test 	lsd.t1.nano 	0 Days, 0 Hours and 58 Seconds
test2 	lsd.t1.nano 	0 Days, 0 Hours and 32 Seconds
direto 	lsd.t1.nano 	0 Days, 0 Hours and 2 Seconds
test2 	lsd.t1.nano 	0 Days, 0 Hours and 21 Seconds
